tags,pilates,name,location,avg_rating,num_ratings
"['pilates', ' strength training', ' …']",True,BLOK,"Hearn St, London",4.8,(30000+)
"['yoga', ' strength training', ' …']",False,Mission E1,"7-9 Fashion Street, London",4.9,(20000+)
"['strength training', ' pilates', ' …']",True,BLOK,"The Tram Depot, 38-40 Upper Clapton Rd, London",4.8,(30000+)
"['cycling', ' yoga', ' …']",False,3Tribes - Crouch End,"71 Crouch End Hill, London",4.9,(30000+)
"['strength training', ' boxing', ' …']",False,1Rebel,"9 Holles Street, London",4.8,(30000+)
"['pilates', ' strength training', ' …']",True,1Rebel,"45 Phillimore Walk, London",4.8,(30000+)
"['strength training', ' pilates', ' …']",True,Victus Soul,"Mansell St, 90, London",4.9,(30000+)
"['pilates', ' strength training']",True,1Rebel,"34 Porchester Rd, London",4.8,(30000+)
"['pilates', ' strength training']",True,1Rebel,"407 St John Street, London",4.9,(30000+)
"['pilates', ' strength training', ' …']",True,1Rebel,"47-51, St John's High Street, London",4.8,(30000+)
"['pilates', ' barre', ' …']",True,Willow LDN,"135 Northcote Road, London",4.9,(30000+)
"['strength training', ' pilates']",True,Train Yard,"20 Lendal Terrace, London",4.9,(25000+)
"['pilates', ' strength training']",True,1Rebel,"1Rebel Holborn, Unit 4, The Post Building, Museum Street, London",4.9,(30000+)
"['yoga', ' pilates', ' …']",True,Yogahome,"14 Allen Rd, Stoke Newington, London",4.8,(30000+)
"['pilates', ' strength training']",True,1Rebel,"Broadgate Cir, London",4.8,(30000+)
"['yoga', ' pilates', ' …']",True,Yogarise,"133 Rye Ln, London",4.8,(30000+)
['pilates'],True,Pilates Circuit,"63 Wandsworth High Street, London",4.9,(30000+)
"['pilates', ' cycling']",True,1Rebel,"Nova South, 5 Allington Street, London",4.8,(30000+)
"['yoga', ' strength training', ' …']",False,Waking Dreams,"6A-B Ada St, London",4.8,(30000+)
['pilates'],True,Pilates Circuit,"4 Fulham High St, London, London",4.8,(30000+)
"['pilates', ' prenatal', ' …']",True,Avalon Pilates,"Unit 2, 40-48 Bromells Road, London",4.9,(12500+)
"['strength training', ' cycling', ' …']",False,RUMBLE,"Ground Floor, Labyrinth Tower, Dalston Square Dalston, London",4.8,(30000+)
"['pilates', ' strength training', ' …']",True,Training Points Fitness and Therapy,"5-6 Cooper's Yard, London",4.9,(17500+)
"['cycling', ' pilates', ' …']",True,Psycle,"76 Mortimer Street, London",4.8,(30000+)
['pilates'],True,Pilates Circuit,"Barry House 20-22 Worple Road, London",4.9,(7500+)
"['barre', ' pilates']",True,Barrecore,"501A Old York Rd, London",4.9,(30000+)
['pilates'],True,Pilates Circuit,"25 Mossop Street, London",4.9,(30000+)
"['yoga', ' pilates', ' …']",True,Yoga House,"2-3 Winslade Way Catford Shopping Centre, London",4.9,(20000+)
"['yoga', ' pilates', ' …']",True,Basic Space,"5A Priory Grove, London",4.9,(17500+)
"['barre', ' pilates', ' …']",True,Barrecore,"12 Chepstow Rd, London",4.8,(30000+)
"['yoga', ' barre', ' …']",False,Oru Space,"20 – 22 Lordship Ln, London",4.9,(20000+)
"['pilates', ' yoga', ' …']",True,3Tribes - Borough,"Unit 1 Brandon House, 180 Borough High Street, London",4.8,(30000+)
"['yoga', ' pilates']",True,The Hot Spot Yoga,"25 Heathman's Rd, Ground Floor Studio, London",4.8,(25000+)
"['strength training', ' rowing', ' …']",False,Milo and the Bull,"62-64 St John's Hill, Battersea, London",4.9,(30000+)
"['cycling', ' yoga', ' …']",False,Psycle,"17-23 Whitby St, London",4.8,(30000+)
"['yoga', ' pilates', ' …']",True,triyoga,"57 Jamestown Rd, London",4.7,(30000+)
"['pilates', ' strength training', ' …']",True,Tempo 301 | SE17,"Tempo 301, Unit H4.R8 2 Ash Avenue, London",4.9,(30000+)
"['barre', ' pilates', ' …']",True,LIM Studio,"114 Highbury Park, London",4.9,(22500+)
"['yoga', ' strength training', ' …']",False,The Refinery,"14 Collent St, London",4.7,(30000+)
"['barre', ' pilates']",True,Barrecore,"Barrecore Chelsea, London",4.8,(30000+)
"['barre', ' low-impact training', ' …']",False,Paola's BodyBarre,"2 Fulham High Street, Fulham, London",4.8,(30000+)
"['barre', ' pilates']",True,Barrecore,"7 Pond St, London",4.8,(27500+)
"['pilates', ' strength training', ' …']",True,Studio Fix,"Kensington High Street, Studio Fix, London",4.9,(5000+)
"['yoga', ' pilates', ' …']",True,triyoga,"10 Cygnet St, London",4.7,(30000+)
"['yoga', ' pilates', ' …']",True,Samya Studios,"Cobble Lane, London",4.9,(7500+)
"['barre', ' pilates']",True,Barrecore,"50 St Mary Axe, London",4.9,(17500+)
['pilates'],True,Haus Of Pilates LDN,"567 Fulham Road, 2nd Floor, London",4.9,(2500+)
"['barre', ' pilates']",True,Barrecore,"6 Cavendish Square, Lower Ground Floor, London",4.8,(30000+)
"['yoga', ' pilates', ' …']",True,Hwyl Studio,"Unit 114, 183A Anerley Road, London",4.9,(2500+)
"['yoga', ' pilates', ' …']",True,triyoga,"372 King's Rd, London",4.7,(30000+)
"['gym time', ' strength training', ' …']",False,ONE LDN (Imperial Wharf),"The Blvd, London",4.8,(25000+)
['pilates'],True,X2 Pilates,"Unit 7 Stephendale Yard, Fulham, London",4.8,(7500+)
"['pilates', ' running', ' …']",True,STRONG Pilates,"68 Pentonville Road, London",4.9,(7500+)
['pilates'],True,Kore Gallery,"32 Commercial road, London",4.9,(27500+)
"['pilates', ' barre', ' …']",True,FLOW LDN,"11 Tottenham Street, London",4.8,(30000+)
['pilates'],True,Broadway Pilates,"36 Broadway Market, London",4.8,(25000+)
"['swimming', ' gym time', ' …']",False,Fitness First,"179A Tottenham Court Road, London",4.8,(22500+)
"['barre', ' pilates']",True,Barrecore,"90 Upper Street, London",4.8,(25000+)
"['barre', ' pilates', ' …']",True,nue | ground,"32 Abbeville Road, London",4.9,(5000+)
['pilates'],True,Tempo 301 | E1,"Cygnet St, London",4.8,(30000+)
"['yoga', ' prenatal', ' …']",False,Yogarise,"YR Stretz, 248A Streatham High Rd, London",4.8,(15000+)
"['pilates', ' aerial']",True,Mojo,"149a Clapham High street, Clapham Common, London",4.7,(30000+)
"['pilates', ' stretching']",True,Absolute Studios,"19 Heathman's Rd, Unit G, London",4.8,(30000+)
"['pilates', ' barre']",True,Reformer Collective,"98 Balham High Road, London",4.8,(5000+)
"['barre', ' pilates', ' …']",True,Disco Barre Studio,"The Factory Unit 5 21-31 Shacklewell Lane, London",4.9,(17500+)
"['pilates', ' yoga', ' …']",True,Repose,"Repose Space Kensington, 40 Kensington High Street, London",4.9,(12500+)
"['pilates', ' prenatal', ' …']",True,Mind and Motion,"16 Streatham High Road, Streatham, London",4.9,(2500+)
"['yoga', ' pilates', ' …']",True,The Life Centre,"15 Edge St, London",4.7,(30000+)
"['yoga', ' pilates', ' …']",True,Breeze Yoga,"9 Albemarle Road, Beckenham",4.8,(15000+)
"['barre', ' pilates', ' …']",True,EVOKE,"307A Seven Sisters Rd, Unit A Rowan Apartments , London",4.8,(20000+)
"['pilates', ' barre']",True,House Of Balance,"28 High St, Chislehurst",4.9,(2500+)
"['yoga', ' pilates', ' …']",True,triyoga,"Longfield Ave, Unit 30, London",4.8,(20000+)
"['strength training', ' pilates', ' …']",True,Guts & Glory,"20 Lettice Street, London",4.9,(2500+)
"['yoga', ' low-impact training', ' …']",False,Sadhana Yoga & Wellbeing,"91 St John's Hill, London",4.7,(30000+)
['pilates'],True,Reformcore,"90 Upper Street, London",4.8,(5000+)
"['yoga', ' pilates', ' …']",True,REVIVE,"45 Balham High Road, London",4.9,(30000+)
"['yoga', ' pilates']",True,Hot Yoga Brixton,"372 Coldharbour Lane, London",4.8,(15000+)
