tags,pilates,name,location,avg_rating,num_ratings,meditation,cycling,outdoors,personal training,rowing,boxing,dance,sports recovery,low-impact training,strength training,prenatal,running,gym time,swimming,barre,aerial,stretching,yoga
"['pilates', 'strength training']",1,BLOK,"Hearn St, London",4.8,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['yoga', 'strength training']",0,Mission E1,"7-9 Fashion Street, London",4.9,20000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"['strength training', 'pilates']",1,BLOK,"The Tram Depot, 38-40 Upper Clapton Rd, London",4.8,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['cycling', 'yoga']",0,3Tribes - Crouch End,"71 Crouch End Hill, London",4.9,30000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['strength training', 'boxing']",0,1Rebel,"9 Holles Street, London",4.8,30000,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"['pilates', 'strength training']",1,1Rebel,"45 Phillimore Walk, London",4.8,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['strength training', 'pilates']",1,Victus Soul,"Mansell St, 90, London",4.9,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['pilates', 'strength training']",1,1Rebel,"34 Porchester Rd, London",4.8,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['pilates', 'strength training']",1,1Rebel,"407 St John Street, London",4.9,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['pilates', 'strength training']",1,1Rebel,"47-51, St John's High Street, London",4.8,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['pilates', 'barre']",1,Willow LDN,"135 Northcote Road, London",4.9,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"['strength training', 'pilates']",1,Train Yard,"20 Lendal Terrace, London",4.9,25000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['pilates', 'strength training']",1,1Rebel,"1Rebel Holborn, Unit 4, The Post Building, Museum Street, London",4.9,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['yoga', 'pilates']",1,Yogahome,"14 Allen Rd, Stoke Newington, London",4.8,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"['pilates', 'strength training']",1,1Rebel,"Broadgate Cir, London",4.8,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"['yoga', 'pilates']",1,Yogarise,"133 Rye Ln, London",4.8,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
